Trip_Distance_km,Passenger_Count,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price,Time_of_Day_Evening,Time_of_Day_Morning,Time_of_Day_Night,Time_of_Day_Unknown,Day_of_Week_Weekday,Day_of_Week_Weekend,Traffic_Conditions_Low,Traffic_Conditions_Medium,Traffic_Conditions_Unknown,Weather_Rain,Weather_Snow,Weather_Unknown
47.04,4.0,4.83,1.38,0.36,79.54,98.3796,False,False,True,False,True,False,False,True,False,False,False,True
44.85,1.0,3.83,0.51,0.29,52.52,41.9343,True,False,False,False,False,True,False,True,False,True,False,False
30.3,1.0,4.5,1.64,0.35,51.65,72.2695,False,False,True,False,False,True,True,False,False,False,False,False
46.17,4.0,4.13,1.57,0.28,83.15,99.8989,False,False,False,False,True,False,False,True,False,False,False,False
5.34,2.0,2.34,1.0499999999999998,0.18,12.72,10.2366,False,False,False,True,True,False,True,False,False,False,False,False
10.6,3.0,4.21,0.58,0.3,73.28,32.342,False,False,False,False,True,False,False,True,False,False,False,False
3.22,3.0,2.83,1.63,0.31,93.78,37.1504,False,False,False,False,True,False,True,False,False,True,False,False
16.94,3.0,3.92,1.93,0.42,100.24,78.715,False,False,False,False,True,False,False,True,False,False,True,False
20.05,2.0,3.02,0.86,0.39,24.61,29.8609,True,False,False,False,False,False,True,False,False,False,False,True
14.3,3.0,4.99,0.99,0.37,108.2,59.181,False,False,True,False,True,False,False,False,False,False,False,False
41.61,3.0,2.79,0.78,0.15,80.46000000000002,47.314800000000005,True,False,False,False,False,True,True,False,False,True,False,False
18.48,4.0,2.84,1.37,0.39,106.41,69.6575,False,False,False,False,True,False,False,True,False,False,False,False
146.0670471598387,2.0,4.79,0.73,0.3,60.81,320.958663578238,False,False,False,False,True,False,False,True,False,False,False,False
27.59,1.0,2.07,1.03,0.46,67.33,61.459500000000006,True,False,False,False,False,True,False,True,False,True,False,False
7.91,4.0,4.09,1.55,0.47,110.69,68.3748,False,True,False,False,True,False,False,True,False,False,False,False
40.31,4.0,4.18,1.34,0.12,108.49,71.2142,False,True,False,False,True,False,False,True,False,False,False,False
4.65,1.0,4.51,1.08,0.43,56.54,33.8442,False,False,False,False,True,False,False,True,False,False,False,True
49.36,4.0,4.92,1.13,0.12,36.56,65.084,False,True,False,False,False,False,False,False,False,True,False,False
38.84,2.0,4.93,1.34,0.25,50.21,69.52810000000001,False,True,False,False,False,True,True,False,False,False,False,False
10.74,3.0,2.2,0.51,0.32,49.59,23.5462,False,True,False,False,False,False,False,True,False,False,False,False
1.27,2.0,4.47,0.62,0.16,37.99,11.3358,False,True,False,False,True,False,False,False,False,False,False,False
40.96,1.0,3.94,1.82,0.4,35.89,92.8432,False,True,False,False,False,True,False,False,False,False,False,True
35.64,1.0,3.94,0.62,0.1,104.02,36.4388,False,False,True,False,False,True,False,False,False,True,False,False
36.72,1.0,2.39,1.56,0.17,13.03,61.8883,False,False,False,True,False,True,True,False,False,False,False,False
38.79,2.0,3.95,1.88,0.33,82.93,104.2421,False,False,False,False,True,False,True,False,False,False,False,False
4.63,1.0,4.95,0.91,0.39,24.87,18.8626,False,False,False,False,True,False,False,True,False,False,False,False
18.56,1.0,4.74,1.0600000000000005,0.47,44.62,45.385000000000005,False,True,False,False,False,True,False,True,False,False,True,False
6.68,2.0,3.32,1.35,0.38,12.08,16.9284,False,False,True,False,False,True,False,True,False,False,False,False
43.29,1.0,2.12,1.82,0.37,36.05,94.2463,True,False,False,False,True,False,False,True,False,True,False,False
31.54,2.0,3.09,1.91,0.26,93.37,87.6076,False,True,False,False,True,False,False,False,False,False,False,False
17.21,2.0,4.48,1.61,0.1,106.78,42.8661,False,False,False,False,True,False,True,False,False,True,False,False
4.11,2.0,4.1,0.63,0.15,30.48,11.2613,True,False,False,False,False,True,False,False,False,True,False,False
16.24,1.0,3.38,1.5,0.31,58.31,45.8161,False,False,True,False,True,False,False,True,False,False,False,False
16.93,4.0,2.17,1.12,0.37,59.09,42.9949,False,False,False,False,True,False,True,False,False,False,True,False
36.75,2.0,3.28,1.21,0.27,105.46,76.2217,False,False,False,False,True,False,False,True,False,False,False,False
32.239999999999995,1.0,3.41,0.57,0.39,92.72,57.9476,False,False,False,True,True,False,False,True,False,False,False,False
44.47,1.0,4.79,0.79,0.31,64.0,59.761300000000006,False,False,True,False,False,True,True,False,False,False,False,False
24.14,2.0,3.92,1.69,0.1299999999999999,82.14,55.3948,False,True,False,False,True,False,True,False,False,False,False,True
6.86,2.0,2.93,1.18,0.18,102.45,29.4658,False,False,True,False,False,True,False,False,False,False,False,False
35.95,4.0,3.58,0.95,0.44,6.1,40.4165,False,False,False,False,False,True,True,False,False,False,False,False
38.28,1.0,2.2000000000000064,1.08,0.39,51.33,63.56110000000001,False,False,False,False,True,False,False,True,False,False,False,False
28.5,1.0,4.92,1.78,0.46,109.33,105.9418,False,False,False,False,True,False,False,True,False,False,False,False
38.78,3.0,3.08,1.62,0.15,90.14,79.4246,False,True,False,False,True,False,False,True,False,False,False,False
25.199999999999992,1.0,3.43,0.91,0.5,67.43,60.077,False,True,False,False,False,True,False,True,False,False,False,False
26.61,4.0,3.07,0.68,0.18,65.91,33.0286,False,True,False,False,True,False,True,False,False,True,False,False
21.95,3.0,4.05,0.88,0.1,44.99,27.865,False,True,False,False,True,False,False,True,False,False,False,False
2.25,3.0,3.99,1.88,0.5,64.86,40.65,True,False,False,False,False,True,True,False,False,False,False,False
6.29,3.0,4.15,1.37,0.21,80.37,29.645000000000003,False,False,False,False,True,False,False,False,True,False,False,False
2.54,1.0,2.8,1.3,0.37,53.11,25.7527,False,True,False,False,False,True,True,False,False,False,False,False
32.18,2.0,2.95,1.39,0.17,87.13,62.4923,False,False,True,False,True,False,False,True,False,True,False,False
16.4,1.0,2.38,1.05,0.33,104.04,53.9332,True,False,False,False,True,False,False,False,True,True,False,False
25.92,3.0,3.97,1.71,0.46,22.79,58.7766,False,False,True,False,True,False,True,False,False,False,False,False
45.47,4.0,2.12,1.28,0.23,56.93,73.4155,False,False,True,False,False,True,True,False,False,True,False,False
13.22,2.0,3.79,0.68,0.37,51.92,31.99,False,True,False,False,True,False,True,False,False,True,False,False
21.11,4.0,4.61,0.69,0.18,84.06,34.3067,False,False,False,False,False,True,False,False,False,True,False,False
38.02,4.0,4.669999999999998,1.31,0.35,33.73,66.2817,True,False,False,False,False,False,False,False,True,False,False,False
112.8309582902826,2.0,3.35,1.9,0.23,78.63,233.00828520738887,False,False,False,False,True,False,False,False,False,False,True,False
4.77,2.0,20.385876587517238,0.96,0.18,105.91,27.408918999999987,False,True,False,False,False,True,False,False,False,False,False,False
102.74755620694734,2.0,2.23,1.8,0.23,53.09,274.53508679715014,True,False,False,False,True,False,False,True,False,False,False,False
8.900000000000004,2.0,4.01,1.65,0.17,109.77,37.355900000000005,False,True,False,False,True,False,True,False,False,False,False,False
46.56,3.0,4.46,0.87,0.46,119.21,99.8038,False,True,False,False,True,False,True,False,False,False,False,False
40.6,3.0,2.73,0.55,0.26,17.2,29.532000000000004,False,False,False,False,False,True,False,True,False,False,False,False
32.04,3.0,3.26,0.65,0.2,31.8,30.446,False,False,False,False,True,False,True,False,False,False,False,False
43.7,3.0,4.52,1.59,0.28,114.29,106.0042,False,False,False,True,True,False,True,False,False,False,False,False
40.38,1.0,4.630000000000003,0.8,0.23,115.21,63.432300000000005,False,True,False,False,True,False,False,True,False,True,False,False
10.14,3.0,2.73,1.06,0.4,16.24,19.974400000000003,True,False,False,False,True,False,False,False,False,True,False,False
44.74,2.0,3.65,1.25,0.49,6.72,62.8678,False,False,False,True,True,False,False,True,False,False,False,False
27.43,4.0,2.58,1.59,0.28,23.53,52.7821,False,True,False,False,False,True,True,False,False,True,False,False
40.56,3.0,2.31,0.67,0.44,119.54,82.0828,True,False,False,False,False,True,False,True,False,True,False,False
44.91,1.0,4.73,1.11,0.33,25.7,63.0611,False,False,True,False,True,False,True,False,False,True,False,False
16.58,2.0,4.46,1.23,0.16,62.79,34.8998,True,False,False,False,False,False,True,False,False,False,False,False
6.39,4.0,4.28,1.31,0.38,102.57,51.6275,True,False,False,False,True,False,False,False,False,False,False,False
12.17,4.0,2.15,1.73,0.31,7.35,25.4826,False,False,False,False,False,True,True,False,False,True,False,False
21.93,3.0,4.53,0.76,0.36,74.52,48.024,False,False,False,False,False,False,True,False,False,False,False,True
41.08,4.0,3.31,1.71,0.46,36.86,90.5124,False,True,False,False,False,False,True,False,False,False,False,True
43.18,3.0,3.03,1.54,0.2799999999999999,104.17,98.6948,False,False,False,False,True,False,False,False,False,False,False,False
1.34,3.0,3.64,1.33,0.46,37.6,22.718200000000003,False,False,False,True,False,True,False,True,False,False,False,False
26.03,2.0,2.27,1.55,0.4,83.98,76.20850000000002,False,True,False,False,True,False,False,True,False,False,False,False
21.45,2.0,4.27,1.12,0.3,82.54,53.056,True,False,False,False,True,False,False,True,False,False,False,False
11.88,1.0,3.75,0.71,0.34,30.47,22.544600000000003,False,False,False,False,True,False,False,False,True,False,False,True
6.87,2.0,2.56,1.5,0.23,9.0,14.935,False,True,False,False,True,False,False,True,False,True,False,False
17.54,2.0,2.56,1.29,0.49,52.06,50.696,False,True,False,False,True,False,True,False,False,True,False,False
47.2,3.0,2.55,1.46,0.37,38.26,85.6182,False,False,False,False,False,True,True,False,False,False,False,False
16.84,2.0,2.17,1.01,0.12,98.03,30.942000000000004,False,True,False,False,False,True,False,True,False,False,True,False
26.42,3.0,3.76,1.86,0.23,97.04,75.22040000000001,True,False,False,False,True,False,False,False,False,False,False,False
35.45000000000001,3.0,4.52,1.38,0.35,57.56,73.587,False,False,False,True,False,False,True,False,False,False,False,False
18.82,2.0,2.05,0.63,0.12,74.75,22.8766,False,False,False,False,True,False,True,False,False,True,False,False
48.62,1.0,2.15,1.17,0.11,74.49,67.2293,False,False,False,False,False,True,True,False,False,True,False,False
48.16,1.0,3.72,1.63,0.28,100.12,110.2544,False,False,False,True,False,True,False,False,True,True,False,False
109.61608204688008,4.0,4.46,1.69,0.23,53.88,327.21766546350466,False,False,False,False,True,False,False,False,False,False,False,False
25.370000000000005,4.0,2.98,1.24,0.28,36.68,44.7092,False,False,False,False,False,True,False,True,False,True,False,False
15.74,2.0,3.05,1.84,0.21,35.48,39.4624,False,False,False,False,True,False,False,False,True,False,False,False
14.96,1.0,3.79,0.9,0.17,66.66,28.5862,False,True,False,False,True,False,False,True,False,True,False,False
2.81,3.0,2.82,1.12,0.38,56.65,27.4942,True,False,False,False,False,True,True,False,False,True,False,False
30.87,4.0,2.08,1.85,0.31,55.61,76.4286,True,False,False,False,True,False,False,True,False,False,False,False
25.63,3.0,4.21,1.84,0.18,15.48,54.1556,False,False,False,False,True,False,False,True,False,False,False,False
3.52,4.0,3.88,1.53,0.23,87.64,29.4228,True,False,False,False,True,False,False,True,False,True,False,False
14.65,2.0,3.74,1.79,0.3400000000000001,29.58,40.020700000000005,True,False,False,False,False,True,False,False,False,False,False,False
45.51,1.0,4.23,0.63,0.13,27.65,36.4958,True,False,False,False,True,False,False,True,False,False,False,False
12.74,4.0,4.03,1.8,0.16,52.47,35.357200000000006,True,False,False,False,True,False,True,False,False,True,False,False
8.1,1.0,2.62,0.98,0.13,31.19,14.6127,False,False,False,False,False,True,False,False,False,False,False,False
24.98,3.0,3.06,0.77,0.42,72.14,52.5934,False,False,False,False,False,True,True,False,False,True,False,False
49.3,2.0,2.38,0.86,0.4,47.72,63.866,False,False,False,False,True,False,True,False,False,False,False,False
12.86,1.0,2.39,1.13,0.4,56.62,39.5698,True,False,False,False,True,False,True,False,False,False,False,False
33.93,2.0,4.029999999999994,0.88,0.39,66.77,59.92869999999999,False,True,False,False,True,False,True,False,False,True,False,False
38.32,1.0,4.58,0.98,0.37,28.41,52.6453,True,False,False,False,True,False,False,True,False,False,False,False
12.64,3.0,4.890000000000003,0.7,0.29,22.91,20.3819,True,False,False,False,True,False,False,True,False,False,False,False
36.68,3.0,3.89,0.94,0.36,106.25,76.6192,False,False,False,True,False,True,False,False,False,True,False,False
19.02,2.0,2.55,1.36,0.12,54.88,35.0028,True,False,False,False,True,False,False,True,False,False,False,False
31.98,3.0,2.32,1.16,0.35,52.39,57.7533,False,True,False,False,False,False,False,True,False,False,False,False
32.04,4.0,4.44,1.02,0.41,9.1,40.8518,False,False,False,True,True,False,True,False,False,False,False,False
27.25,1.0,3.74,1.62,0.3,62.27,66.566,True,False,False,False,False,True,True,False,False,True,False,False
5.42,3.0,3.85,1.84,0.24,68.73,30.318,False,True,False,False,True,False,False,True,False,True,False,False
41.93,4.0,4.34,1.64,0.21,69.27,87.6519,True,False,False,False,False,True,False,True,False,True,False,False
16.720000000000002,2.0,4.11,1.0,0.36,86.31,51.9016,True,False,False,False,True,False,False,False,False,False,False,False
10.14,4.0,4.5,1.62,0.38,25.41,30.582600000000006,False,False,False,False,True,False,True,False,False,True,False,False
3.0,2.0,2.17,0.73,0.45,34.01,19.6645,False,True,False,False,True,False,True,False,False,False,False,False
29.95,2.0,4.24,0.7,0.24,98.23,48.7802,False,True,False,False,True,False,False,True,False,False,False,False
34.2,1.0,4.55,1.02,0.41,113.92,86.1412,False,False,False,True,True,False,True,False,False,False,False,False
1.81,1.0,2.86,1.71,0.32,20.63,12.5567,False,False,True,False,True,False,True,False,False,True,False,False
26.09,4.0,3.92,0.87,0.45,62.23,54.62179999999999,False,False,False,True,True,False,False,True,False,True,False,False
12.1,1.0,5.896095359021908,0.59,0.31,21.9473,19.2643,False,True,False,False,False,True,True,False,False,False,False,False
32.61,1.0,4.870000000000001,0.7,0.31,11.91,31.3891,False,False,False,False,False,False,False,True,False,False,False,False
9.54,1.0,2.1,1.79,0.33,42.43,33.1785,False,False,False,False,False,True,False,False,True,True,False,False
34.86,4.0,3.74,1.45,0.4,21.52,62.895,True,False,False,False,True,False,True,False,False,False,False,False
19.95,3.0,2.5,0.88,0.49,64.38410000000005,50.57787200000003,False,True,False,False,True,False,True,False,False,False,False,True
46.9,1.0,4.14,1.33,0.13,66.38,75.1464,True,False,False,False,True,False,False,False,False,False,False,False
7.74,1.0,2.529999999999999,1.29,0.12,21.54,15.0994,False,False,False,False,True,False,True,False,False,False,False,False
17.71,4.0,2.71,1.48,0.48,6.06,31.829600000000003,False,False,True,False,True,False,False,True,False,False,False,False
6.56,3.0,3.48,0.85,0.31,97.94,39.4174,False,False,False,False,True,False,True,False,False,False,False,False
46.31,1.0,4.74,1.8,0.35,25.259999999999984,96.939,False,False,False,False,True,False,False,True,False,True,False,False
43.99,2.0,2.64,0.96,0.29,74.71,66.5363,False,False,True,False,True,False,True,False,False,False,False,False
13.64,4.0,2.43,1.54,0.14,43.75,29.5606,False,True,False,False,True,False,False,True,False,True,False,False
33.34,1.0,4.28,0.52,0.41,72.33,51.2721,False,False,True,False,False,True,False,True,False,False,False,False
41.04,1.0,3.5,1.06,0.4,41.3,63.522400000000005,False,False,False,False,False,True,False,False,False,False,False,False
28.2,2.0,4.74,1.03,0.22,15.0,37.086,False,True,False,False,False,True,True,False,False,False,False,False
26.95,2.0,2.44,1.32,0.22,30.640000000000036,44.7548,False,False,False,False,False,True,True,False,False,False,False,False
12.85,4.0,3.94,0.61,0.4399999999999999,26.63,23.4957,True,False,False,False,True,False,True,False,False,False,True,False
5.56,4.0,2.6999999999999997,1.69,0.13,54.22,19.145,False,True,False,False,True,False,False,False,False,False,False,False
44.96,2.0,2.47,0.83,0.45,80.7,76.1018,False,False,False,False,False,True,False,True,False,False,False,False
45.12,4.0,4.049999999999994,1.52,0.2,35.34,79.70039999999999,False,False,False,False,True,False,False,True,False,False,False,False
32.02,2.0,3.78,1.7,0.34,6.39,60.38660000000001,False,False,False,False,True,False,False,False,True,False,False,False
17.61,1.0,4.26,1.34,0.47,64.68,58.257000000000005,False,True,False,False,True,False,True,False,False,False,False,False
18.11,2.0,2.93,1.61,0.37,74.66,59.7113,True,False,False,False,False,False,True,False,False,True,False,False
36.57,2.0,3.34,1.49,0.27,115.73,89.0764,False,False,True,False,True,False,False,False,False,False,False,False
44.96,3.0,3.22,1.03,0.38,72.79,77.18900000000001,False,False,True,False,False,True,False,True,False,False,False,False
44.47,2.0,4.95,1.71,0.24,59.18,95.1969,True,False,False,False,True,False,False,False,False,False,False,False
39.21,2.0,2.88,0.94,0.21,70.94,54.6348,False,True,False,False,True,False,True,False,False,False,True,False
32.46,3.0,2.88,1.36,0.5,111.71,102.8806,True,False,False,False,False,True,False,False,True,False,False,False
5.12,4.0,24.946995842628596,1.62,0.4,87.96959999999996,51.45840000000001,False,True,False,False,True,False,False,True,False,False,False,False
8.92,3.0,3.69,1.07,0.36,42.14,28.4048,False,True,False,False,True,False,True,False,False,False,False,False
45.03,1.0,2.76,0.95,0.24,32.28,53.2857,False,False,False,False,True,False,False,False,False,False,False,False
30.72,3.0,4.75,1.19,0.12,35.2,45.5308,False,False,False,False,False,True,False,False,True,False,False,False
1.45,1.0,2.8,1.73,0.1099999999999999,63.01,12.2396,True,False,False,False,False,True,False,False,False,False,False,False
5.97,4.0,4.69,1.89,0.32,90.57,44.95569999999999,False,False,False,False,True,False,False,True,False,True,False,False
33.51,3.0,2.31,1.32,0.4,62.87,71.6912,False,False,False,False,False,True,True,False,False,False,False,False
1.25,3.0,3.97,1.49,0.31,12.8,9.8005,False,False,False,True,True,False,True,False,False,True,False,False
8.88,4.0,4.72,1.85,0.44,88.21,59.96039999999999,False,False,True,False,False,True,False,False,False,False,False,False
27.89,1.0,2.51,0.65,0.11,97.69,31.3844,False,False,False,True,False,True,True,False,False,False,False,False
34.9,3.0,4.9,0.85,0.25,38.29,44.1375,False,False,False,False,False,True,False,True,False,False,False,False
32.95,1.0,3.36,1.56,0.19,81.37,70.2223,False,True,False,False,True,False,False,True,False,False,False,False
11.99,1.0,4.84,1.74,0.28,54.06,40.839400000000005,True,False,False,False,False,True,False,True,False,True,False,False
35.9,2.0,4.03,1.79,0.13,107.25,82.23349999999999,False,False,False,True,False,True,False,False,False,False,False,False
12.63,3.0,2.9,1.12,0.48,102.2,66.10159999999999,False,True,False,False,True,False,True,False,False,False,False,True
16.94,4.0,2.56,0.63,0.19,65.42,25.662,False,True,False,False,False,True,True,False,False,False,False,False
37.58,4.0,2.91,1.16,0.47,84.52,86.22719999999998,False,False,False,False,True,False,True,False,False,False,True,False
32.83,1.0,2.2799999999999976,0.85,0.27,106.59,58.9648,False,False,False,False,False,True,False,True,False,False,False,False
42.61,3.0,2.43,0.94,0.49,62.01,72.86829999999999,False,True,False,False,True,False,True,False,False,True,False,False
33.22,1.0,2.31,1.66,0.32,41.02,70.5816,False,False,True,False,False,True,True,False,False,False,False,False
28.85,1.0,3.27,0.61,0.47,91.67,63.9534,False,True,False,False,False,False,False,False,False,False,False,False
5.59,2.0,4.39,1.739999999999999,0.1,30.31,17.147599999999997,False,False,False,False,True,False,False,False,False,False,False,False
19.02,2.0,2.42,1.14,0.4,49.68,43.9748,False,False,True,False,True,False,True,False,False,False,False,True
13.99,4.0,2.39,1.39,0.46,104.56,69.9337,False,False,False,False,True,False,False,False,True,False,False,False
130.80900130744172,1.0,3.93,0.63,0.16,88.31,328.8717691378544,False,False,False,False,True,False,False,False,False,False,False,False
48.68,4.0,2.59,1.01,0.14,51.44,58.9584,False,False,False,False,True,False,True,False,False,True,False,False
20.26,3.0,2.29,0.63,0.27,29.7,23.0728,False,True,False,False,True,False,True,False,False,True,False,False
44.71,1.0,2.5,1.94,0.47,45.94,110.8292,False,False,True,False,True,False,True,False,False,True,False,False
31.93,1.0,4.77,1.71,0.32,37.67,71.4247,False,False,False,False,True,False,False,True,False,False,False,False
39.95,3.0,4.46,1.19,0.31,25.25,59.828,True,False,False,False,False,True,True,False,False,False,False,False
25.63,3.0,3.06,0.84,0.16,90.48,39.066,False,True,False,False,True,False,False,False,False,False,False,False
29.27,4.0,3.97,1.9,0.1,33.99,62.982,False,True,False,False,False,True,False,True,False,True,False,False
25.13,4.0,3.61,1.02,0.42,57.23,53.2792,False,True,False,False,False,True,False,True,False,True,False,False
10.57,3.0,4.03,0.74,0.14,49.37,18.7636,False,False,False,False,True,False,True,False,False,False,False,False
36.4,4.0,4.05,1.34,0.35,117.94,94.105,False,False,False,False,True,False,False,True,False,False,False,False
14.76,3.0,3.89,1.92,0.47,49.98,55.71979999999999,True,False,False,False,False,True,False,True,False,False,False,False
2.19,1.0,2.8,0.51,0.18,14.2,6.472899999999999,False,False,False,False,True,False,False,True,False,False,False,False
32.63,1.0,2.12,0.86,0.37,15.33,35.8539,False,False,True,False,True,False,False,True,False,False,False,False
9.68,2.0,3.37,1.91,0.13,72.94,31.341,False,True,False,False,True,False,False,True,False,False,False,True
47.08,1.0,4.67,0.76,0.34,73.93,65.587,True,False,False,False,False,True,False,False,False,True,False,False
47.74,3.0,3.71,0.67,0.17,53.16,44.733,True,False,False,False,True,False,False,False,False,False,False,False
45.83,4.0,4.5,1.36,0.39,54.66,88.1462,True,False,False,False,True,False,False,True,False,False,False,False
19.14,2.0,4.97,1.79,0.22,11.2,41.6946,True,False,False,False,False,True,True,False,False,False,True,False
1.76,1.0,2.49,1.22,0.29,64.4,23.3132,True,False,False,False,False,True,True,False,False,False,False,False
46.49,3.0,4.08,1.99,0.34,63.05,118.0321,False,False,False,False,True,False,True,False,False,False,False,False
21.98,1.0,4.02,1.52,0.17,22.2,41.2036,False,True,False,False,True,False,False,True,False,False,False,False
48.37,2.0,4.94,0.61,0.4,16.94000000000001,41.2217,False,True,False,False,False,True,False,True,False,False,False,False
48.22,3.0,4.96,1.99,0.22,19.21,105.144,False,False,True,False,True,False,False,True,False,False,False,False
